T_ms,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
0.388,-0.0052702923255477,-0.038495358411415825,-0.02441923239814639,0.03323268644922621,0.018436578171091445,-0.03380828230732238,-0.20442456195123884,0.016853092141697112,0.0905994048260629,0.37852089696400154,0.3454670950828772,0.3806793333159886
0.39,-0.007767541950771332,-0.043489727550581725,-0.026916172972653574,0.03572980265715396,0.018436578171091445,-0.036305148799042716,-0.20941893109040474,-0.030593414680378888,0.04315289800398689,0.3260663847338605,0.28803184998246945,0.36070185675932503
0.392,-0.009218289085545723,-0.04728777105873812,-0.02941311354716072,0.03687315634218289,0.018436578171091445,-0.038802015290763055,-0.2060390208125041,-0.09359215470557843,-0.010275236973136625,0.2736118725037202,0.23538190740609968,0.34192070583367096
0.394,-0.009218289085545723,-0.04978495562832106,-0.031910054121667905,0.03687315634218289,0.018436578171091445,-0.0412988817824834,-0.19355309796458936,-0.17350206093223275,-0.07020766664312737,0.2233560756644005,0.18793540058402367,0.3244404138465903
0.396,-0.009218289085545723,-0.052282140197903976,-0.03440699469617505,0.03687315634218289,0.018436578171091445,-0.04379574827420375,-0.1810671751166748,-0.25341196715888603,-0.13014009631311732,0.17339939734998114,0.14048889376194829,0.3069601218595099
0.398,-0.009218289085545723,-0.054779324767486925,-0.03687315634218289,0.03687315634218289,0.018436578171091445,-0.04609144542772861,-0.16858125226876006,-0.33332187338554037,-0.19007252598310806,0.12344271903556114,0.0930423869398723,0.28947982987242926
0.4,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.03899709461124704,0.018436578171091445,-0.04609144542772861,-0.14822823012566316,-0.3876637069028527,-0.2342707570627345,0.07206425656382558,0.00822715846568107,0.24839823999980218
0.402,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.0414942108191748,0.018436578171091445,-0.04609144542772861,-0.12575356899941664,-0.43511021372492864,-0.2742257101760617,0.014614076502243325,-0.08666585517847093,0.2009517331777262
0.404,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.04399132702710256,0.018436578171091445,-0.04609144542772861,-0.10327890787317011,-0.48255672054700466,-0.3141806632893888,-0.04283610355933968,-0.18155886882262295,0.15350522635565017
0.406,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.04609144542772861,0.018436578171091445,-0.04706179164725974,-0.08224448342891554,-0.5218418861711263,-0.3486147091217468,-0.10028628362092193,-0.2663702256928313,0.1082190745565621
0.408,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.04609144542772861,0.018436578171091445,-0.0495586581389801,-0.07475292972016669,-0.4843841176273821,-0.33113441713466624,-0.1602304129420584,-0.2563814874144995,0.08324722886073262
0.41,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.04609144542772861,0.018436578171091445,-0.052055524630700435,-0.06726137601141785,-0.44692634908363793,-0.3136541251475856,-0.2226762608350826,-0.24639274913616774,0.05827538316490315
0.412,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.04609144542772861,0.018436578171091445,-0.054552391122420774,-0.059769822302669,-0.40946858053989366,-0.29617383316050494,-0.2851221087281076,-0.23640401085783597,0.03330353746907367
0.414,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.04725861898119564,0.018436578171091445,-0.05530973451327434,-0.05126777995413544,-0.3649373915176564,-0.27162012069493124,-0.3475679566211326,-0.22237331802036525,0.01742608953130672
0.416,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.04975573518912341,0.018436578171091445,-0.05530973451327434,-0.041279041675803645,-0.3099993309868315,-0.23665953672076998,-0.34537312588647856,-0.20239584146370168,0.014928904961723773
0.418,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.052252851397051166,0.018436578171091445,-0.05530973451327434,-0.031290303397471984,-0.2550612704560074,-0.20169895274660918,-0.3278882884764316,-0.18241836490703836,0.012431720392140858
0.42,-0.009218289085545723,-0.05530973451327434,-0.03687315634218289,0.05474996760497892,0.018436578171091445,-0.055321568003756434,-0.021301565119140196,-0.20012320992518257,-0.1667383687724479,-0.31040345106638484,-0.1624408883503748,0.00993453582255791
0.422,-0.010850379612166944,-0.058871610178415856,-0.03687315634218289,0.05530973451327434,0.018436578171091445,-0.05781843449547677,-0.018436578171091445,-0.1683373412177776,-0.14424434962628196,-0.2902615088377481,-0.14958716312399425,0.009218289085545723
0.424,-0.013347629237390642,-0.06386597931758176,-0.03687315634218289,0.05530973451327434,0.018436578171091445,-0.06031530098719711,-0.018436578171091445,-0.14586268009153108,-0.12676405763920134,-0.2502961661862126,-0.13959842484566246,0.009218289085545723
0.426,-0.015844878862614275,-0.06886034845674764,-0.03687315634218289,0.05530973451327434,0.018436578171091445,-0.06281216747891745,-0.018436578171091445,-0.12338801896528456,-0.1092837656521207,-0.2103308235346766,-0.12960968656733066,0.009218289085545723
0.428,-0.018342128487837905,-0.07374631268436578,-0.03687315634218289,0.05530973451327434,0.018436578171091445,-0.06374701322700232,-0.018382375715317565,-0.10085915538326415,-0.0916950687534923,-0.1703654808831406,-0.11945834092167723,0.009272491541319603
0.43,-0.018436578171091445,-0.07374631268436578,-0.03687315634218289,0.05530973451327434,0.018436578171091445,-0.06125014673528198,-0.01588519114573462,-0.07588730968743468,-0.06922040762724578,-0.13894638180016833,-0.1019780489345966,0.01176967611090255
0.432,-0.018436578171091445,-0.07374631268436578,-0.03687315634218289,0.05530973451327434,0.018436578171091445,-0.05875328024356164,-0.01338800657615167,-0.0509154639916052,-0.046745746500999254,-0.11896371047440034,-0.08449775694751598,0.014266860680485497
0.434,-0.018436578171091445,-0.07374631268436578,-0.03687315634218289,0.05530973451327434,0.018436578171091445,-0.05625641375184128,-0.010890822006568723,-0.025943618295775725,-0.024271085374752723,-0.0989810391486326,-0.06701746496043534,0.016764045250068443
0.436,-0.01776031843899605,-0.07292166103580583,-0.0382543607585898,0.05530973451327434,0.018436578171091445,-0.05530973451327434,-0.008393637436985775,-0.008393637436985775,-0.008393637436985775,-0.0789983678228646,-0.05283577956759449,0.018436578171091445
0.438,-0.015263068813772417,-0.07042447646622288,-0.040751301333096984,0.05530973451327434,0.018436578171091445,-0.05530973451327434,-0.0058964528674028275,-0.0058964528674028275,-0.0058964528674028275,-0.057174369473688244,-0.04534422585884565,0.018436578171091445
0.44,-0.01276581918854872,-0.06792729189663997,-0.04324824190760413,0.05530973451327434,0.018436578171091445,-0.05530973451327434,-0.003399268297819913,-0.003399268297819913,-0.003399268297819913,-0.03469386423219924,-0.037852672150096904,0.018436578171091445
0.442,-0.010268569563325086,-0.06543010732705702,-0.04574518248211131,0.05530973451327434,0.018436578171091445,-0.05530973451327434,-0.0009020837282369654,-0.0009020837282369654,-0.0009020837282369654,-0.012213358990710532,-0.030361118441348065,0.018436578171091445
0.444,-0.009218289085545723,-0.06293292275747407,-0.04394076779883873,0.053558974183073794,0.020187338501291983,-0.05530973451327434,0.0,0.0,0.0031902016826919643,0.009334828770571584,-0.024464665573945204,0.018436578171091445
0.446,-0.009218289085545723,-0.06043573818789113,-0.04144382722433155,0.05106185797514603,0.022684454709219756,-0.05530973451327434,0.0,0.0,0.00818457082185786,0.011832662686292584,-0.019470296434779308,0.018436578171091445
0.448,-0.009218289085545723,-0.05793855361830818,-0.03894688664982443,0.04856474176721827,0.02518157091714751,-0.05530973451327434,0.0,0.0,0.013178939961023754,0.014330496602013552,-0.014475927295613414,0.018436578171091445
0.45,-0.009218289085545723,-0.055441369048725236,-0.037719576875914165,0.04611526529616671,0.027678687125075267,-0.05530973451327434,0.0,0.0,0.01817330910018965,0.016828330517734552,-0.00948155815644752,0.018436578171091445
0.452,-0.007000610522752519,-0.06004083458153844,-0.04271345802492853,0.048612381504094485,0.030175803333003036,-0.05530973451327434,0.0,0.0023655500341320497,0.016071028136959396,0.018436578171091445,0.0002439110509824758,0.018436578171091445
0.454,-0.004503360897528887,-0.06503520372070433,-0.04770733917394289,0.05110949771202224,0.03267291954093079,-0.05530973451327434,0.0,0.004862734603714997,0.013573843567376448,0.018436578171091445,0.010232649329314267,0.018436578171091445
0.456,-0.0020061112723051898,-0.07002957285987023,-0.05270122032295726,0.05360661391995001,0.03517003574885856,-0.05530973451327434,0.0,0.007359919173297945,0.0110766589977935,0.018436578171091445,0.020221387607646055,0.018436578171091445
